File Version,Hardware Type,Model,Data Logger Name,Serial Number,Sample Rate,Total Alarms
1,4,EL-SIE-6+,EasyLog,2460e2015d28c007,900,0,

Channel Number,Channel Name,Channel Type
1,Temperature,1
2,Humidity,2
3,Pressure,3
4,Dew Point,4

Channel Number,Channel Name,Alarm Type,High Threshold,Low Threshold,Delay,Hold

Reading,Date / Time (UTC),Channel 1 (°C),Channel 2 (%RH),Channel 3 (hPA),Channel 4 (°C),
1,2023/03/07 15:10:35,27.28,64.6,989.99,20.03,
2,2023/03/07 15:25:35,23.44,34.3,990.59,6.81,
3,2023/03/07 15:40:35,20.13,33.4,990.63,3.52,
4,2023/03/07 15:55:35,18.63,32.9,990.53,1.99,
5,2023/03/07 16:10:35,17.94,32.5,990.37,1.21,
6,2023/03/07 16:25:35,17.61,32.2,990.29,0.80,
7,2023/03/07 16:40:35,17.41,32.0,990.37,0.54,
8,2023/03/07 16:55:35,17.32,31.9,990.32,0.41,
9,2023/03/07 17:10:35,17.26,31.6,990.32,0.23,
10,2023/03/07 17:25:35,17.20,31.6,990.30,0.18,
11,2023/03/07 17:40:35,17.16,31.4,990.20,0.06,
12,2023/03/07 17:55:35,17.13,31.3,990.23,-0.01,
13,2023/03/07 18:10:35,17.20,31.2,990.21,0.00,
14,2023/03/07 18:25:35,17.40,31.1,990.32,0.13,
15,2023/03/07 18:40:35,17.57,31.0,990.38,0.24,
16,2023/03/07 18:55:35,17.71,31.0,990.45,0.36,
17,2023/03/07 19:10:35,17.81,31.0,990.46,0.45,
18,2023/03/07 19:25:35,17.92,31.0,990.41,0.54,
19,2023/03/07 19:40:35,17.99,31.0,990.36,0.60,
20,2023/03/07 19:55:35,18.09,31.0,990.35,0.69,
21,2023/03/07 20:10:35,18.15,31.0,990.37,0.74,
22,2023/03/07 20:25:35,18.20,31.0,990.30,0.79,
23,2023/03/07 20:40:35,18.25,31.0,990.27,0.83,
24,2023/03/07 20:55:35,18.30,31.0,990.28,0.87,
25,2023/03/07 21:10:35,18.38,31.1,990.22,0.99,
26,2023/03/07 21:25:35,18.41,31.1,990.28,1.01,
27,2023/03/07 21:40:35,18.49,31.2,990.24,1.13,
28,2023/03/07 21:55:35,18.49,31.2,990.21,1.13,
29,2023/03/07 22:10:35,18.54,31.2,990.24,1.17,
