Event,Size,Date,Time
7,X1.51,07/08/2023,20:46
5,X1.63,05/08/2023,22:21
17,X1,02/07/2023,23:14
12,X1.11,20/06/2023,17:09
11,X1.2,29/03/2023,02:33
3,X2.07,03/03/2023,17:52
2,X2.2,17/02/2023,20:16
13,X1.1,11/02/2023,15:48
18,X1,10/01/2023,22:47
4,X1.9,09/01/2023,18:50
10,X1.22,06/01/2023,00:57
19,X1,02/10/2022,20:25
8,X1.5,10/05/2022,13:55
14,X1.1,03/05/2022,13:25
15,X1.1,30/04/2022,13:47
1,X2.25,20/04/2022,03:57
16,X1.1,17/04/2022,03:34
9,X1.3,30/03/2022,17:37
20,X1,28/10/2021,15:35
6,X1.59,03/07/2021,14:29
22,X8.2,10/09/2017,16:06
55,X1.3,07/09/2017,14:36
21,X9.3,06/09/2017,12:02
32,X2.2,06/09/2017,09:10
30,X2.7,05/05/2015,22:11
33,X2.2,11/03/2015,16:22
42,X1.8,20/12/2014,00:28
48,X1.6,07/11/2014,17:26
38,X2,27/10/2014,14:47
39,X2,26/10/2014,10:56
65,X1,25/10/2014,17:08
28,X3.1,24/10/2014,21:41
49,X1.6,22/10/2014,14:28
60,X1.1,19/10/2014,05:03
50,X1.6,10/09/2014,17:45
66,X1,11/06/2014,09:06
34,X2.2,10/06/2014,11:42
51,X1.5,10/06/2014,12:52
56,X1.3,25/04/2014,00:27
67,X1,29/03/2014,17:48
25,X4.9,25/02/2014,00:49
58,X1.2,07/01/2014,18:32
68,X1,19/11/2013,10:26
61,X1.1,10/11/2013,05:14
62,X1.1,08/11/2013,04:26
26,X3.3,05/11/2013,22:12
31,X2.3,29/10/2013,21:54
69,X1,28/10/2013,02:03
36,X2.1,25/10/2013,15:03
45,X1.7,25/10/2013,08:01
59,X1.2,15/05/2013,01:48
27,X3.2,14/05/2013,01:11
29,X2.8,13/05/2013,16:05
46,X1.7,13/05/2013,02:17
43,X1.8,23/10/2012,03:17
53,X1.4,12/07/2012,16:49
63,X1.1,06/07/2012,23:08
24,X5.4,07/03/2012,00:24
57,X1.3,07/03/2012,01:14
64,X1.1,05/03/2012,04:09
47,X1.7,27/01/2012,18:37
40,X1.9,03/11/2011,20:27
41,X1.9,24/09/2011,09:40
54,X1.4,22/09/2011,11:01
44,X1.8,07/09/2011,22:38
37,X2.1,06/09/2011,22:20
23,X6.9,09/08/2011,08:05
52,X1.5,09/03/2011,23:23
35,X2.2,15/02/2011,01:56
