2013-10-25 16:10:00: Sum=9915, StdDev=1.8982366736357725
2013-10-25 16:55:00: Sum=10056, StdDev=1.9456491506137354
2013-10-25 17:40:00: Sum=10153, StdDev=1.9277658945803742
2013-10-25 18:25:00: Sum=10256, StdDev=1.975816200223207
2013-10-25 19:10:00: Sum=10292, StdDev=1.920881427765287
2013-10-25 19:55:00: Sum=10318, StdDev=1.9277653609021255
2013-10-25 20:40:00: Sum=10314, StdDev=1.926282160786151
2013-10-25 21:25:00: Sum=10279, StdDev=1.9773220101848843
2013-10-25 22:10:00: Sum=10397, StdDev=1.9324565558356142
2013-10-25 22:55:00: Sum=10441, StdDev=1.9934398240131532
2013-10-25 23:40:00: Sum=10036, StdDev=1.9235207203436153
2013-10-26 00:25:00: Sum=10147, StdDev=1.9524979955166586
2013-10-26 01:10:00: Sum=10269, StdDev=1.9963457356621115
2013-10-26 01:55:00: Sum=10118, StdDev=1.8328011199064442
2013-10-26 02:40:00: Sum=10087, StdDev=1.9767833191347322
2013-10-26 03:25:00: Sum=10155, StdDev=1.9812936913436194
2013-10-26 04:10:00: Sum=10122, StdDev=1.9101819446661081
2013-10-26 04:55:00: Sum=10188, StdDev=1.958767564151084
2013-10-26 05:40:00: Sum=10087, StdDev=1.9077536902496557
2013-10-26 06:25:00: Sum=10164, StdDev=1.9394717366551002
2013-10-26 07:10:00: Sum=10426, StdDev=1.9503270451363786
2013-10-26 07:55:00: Sum=10293, StdDev=1.9525668449378673
2013-10-26 08:40:00: Sum=10341, StdDev=1.949261018570504
2013-10-26 09:25:00: Sum=10135, StdDev=1.9563015902995389
2013-10-26 10:10:00: Sum=10257, StdDev=1.949339552606991
2013-10-26 10:55:00: Sum=10139, StdDev=1.9395663325339096
2013-10-26 11:40:00: Sum=10184, StdDev=1.9672749286052502
2013-10-26 12:25:00: Sum=10244, StdDev=1.9451273580301822
2013-10-26 13:10:00: Sum=10270, StdDev=1.9404049751956576
2013-10-26 13:55:00: Sum=10182, StdDev=1.9675653941475268
2013-10-26 14:40:00: Sum=10258, StdDev=1.9344056909627518
2013-10-26 15:25:00: Sum=10344, StdDev=1.9982387306554135
2013-10-26 16:10:00: Sum=10340, StdDev=1.9746194785446667
2013-10-26 16:55:00: Sum=10271, StdDev=1.9278999498768743
2013-10-26 17:40:00: Sum=10293, StdDev=1.9862300663677432
2013-10-26 18:25:00: Sum=10233, StdDev=1.9544753961291184
2013-10-26 19:10:00: Sum=10273, StdDev=1.9652666775413956
2013-10-26 19:55:00: Sum=10157, StdDev=1.9080599746708737
2013-10-26 20:40:00: Sum=10300, StdDev=1.937677820504951
2013-10-26 21:25:00: Sum=10184, StdDev=1.9232939280327597
2013-10-26 22:10:00: Sum=10035, StdDev=1.943674450717087
2013-10-26 22:55:00: Sum=10429, StdDev=1.9635589242072717
2013-10-26 23:40:00: Sum=10185, StdDev=1.9218930353966563
2013-10-27 00:25:00: Sum=10111, StdDev=1.9581905297727367
2013-10-27 01:10:00: Sum=10457, StdDev=1.916152230121247
2013-10-27 01:55:00: Sum=10296, StdDev=1.9529578706271276
2013-10-27 01:40:00: Sum=10248, StdDev=1.915351883990556
2013-10-27 02:25:00: Sum=10345, StdDev=1.971305646864729
2013-10-27 03:10:00: Sum=10364, StdDev=1.934060598276386
2013-10-27 03:55:00: Sum=10491, StdDev=1.9964446794300843
2013-10-27 04:40:00: Sum=10393, StdDev=1.9703025259831923
2013-10-27 05:25:00: Sum=10322, StdDev=1.9646294812580456
2013-10-27 06:10:00: Sum=10437, StdDev=1.987758524222015
2013-10-27 06:55:00: Sum=10501, StdDev=1.95162691092619
2013-10-27 07:40:00: Sum=10507, StdDev=1.8951403812044847
2013-10-27 08:25:00: Sum=10251, StdDev=1.9371007354444063
2013-10-27 09:10:00: Sum=10314, StdDev=1.9022910164091906
2013-10-27 09:55:00: Sum=10390, StdDev=1.9344575984689736
2013-10-27 10:40:00: Sum=10353, StdDev=1.9826092671459092
2013-10-27 11:25:00: Sum=10375, StdDev=1.967335277292222
2013-10-27 12:10:00: Sum=10420, StdDev=1.963417138233891
2013-10-27 12:55:00: Sum=10399, StdDev=1.9568913437231372
2013-10-27 13:40:00: Sum=10369, StdDev=1.9789821204842044
2013-10-27 14:25:00: Sum=10469, StdDev=1.9143146778602143
2013-10-27 15:10:00: Sum=10334, StdDev=1.9789233746934451
2013-10-27 15:55:00: Sum=10221, StdDev=1.935902188632116
2013-10-27 16:40:00: Sum=10439, StdDev=2.004322455295329
2013-10-27 17:25:00: Sum=10314, StdDev=1.9480778750880077
2013-10-27 18:10:00: Sum=10428, StdDev=1.9570146072115828
2013-10-27 18:55:00: Sum=10270, StdDev=1.9737127040515372
2013-10-27 19:40:00: Sum=10198, StdDev=1.9227465209469092
2013-10-27 20:25:00: Sum=10109, StdDev=1.9510828128660196
2013-10-27 21:10:00: Sum=10247, StdDev=1.9519920885737716
2013-10-27 21:55:00: Sum=10106, StdDev=1.93999010080486
2013-10-27 22:40:00: Sum=10094, StdDev=1.9361468105180677
2013-10-27 23:25:00: Sum=10410, StdDev=1.9763103170139558
2013-10-28 00:10:00: Sum=10434, StdDev=1.970183923231033
2013-10-28 00:55:00: Sum=10313, StdDev=1.9330612480601113
2013-10-28 01:40:00: Sum=10309, StdDev=1.9778131152343152
2013-10-28 02:25:00: Sum=10418, StdDev=1.9754000133188283
2013-10-28 03:10:00: Sum=10131, StdDev=1.9070276141125106
2013-10-28 03:55:00: Sum=10691, StdDev=2.041658696549489
2013-10-28 04:40:00: Sum=10575, StdDev=1.9410048943781673
2013-10-28 05:25:00: Sum=10442, StdDev=1.9913267354586834
2013-10-28 06:10:00: Sum=10665, StdDev=1.9853397880650239
2013-10-28 06:55:00: Sum=10044, StdDev=1.92818471529475
2013-10-28 07:40:00: Sum=10333, StdDev=1.9310548159832133
2013-10-28 08:25:00: Sum=10077, StdDev=1.9612351235577399
2013-10-28 09:10:00: Sum=10296, StdDev=2.9196600512413795
2013-10-28 09:55:00: Sum=9973, StdDev=1.924086407831285
2013-10-28 10:40:00: Sum=9905, StdDev=1.8848640852930048
2013-10-28 11:25:00: Sum=9687, StdDev=1.8799326885769732
2013-10-28 12:10:00: Sum=9547, StdDev=1.876118450140469
2013-10-28 12:55:00: Sum=9973, StdDev=1.9020157886717586
2013-10-28 13:40:00: Sum=10567, StdDev=1.9945196175523312
2013-10-28 14:25:00: Sum=10397, StdDev=1.9672172975417839
2013-10-28 15:10:00: Sum=10393, StdDev=1.9642780709950522
2013-10-28 15:55:00: Sum=10374, StdDev=1.9675879825654057
2013-10-28 16:40:00: Sum=10455, StdDev=1.9734268621479019
2013-10-28 17:25:00: Sum=10481, StdDev=1.9917711028630458
2013-10-28 18:10:00: Sum=10377, StdDev=1.9280320037300749
2013-10-28 18:55:00: Sum=10324, StdDev=1.9111837482607243
2013-10-28 19:40:00: Sum=10273, StdDev=1.9348784445892402
2013-10-28 20:25:00: Sum=10278, StdDev=1.93898407916601
2013-10-28 21:10:00: Sum=10157, StdDev=1.9287177414542218
2013-10-28 21:55:00: Sum=10298, StdDev=1.9124025208936635
2013-10-28 22:40:00: Sum=10520, StdDev=1.9615718341056627
2013-10-28 23:25:00: Sum=10444, StdDev=1.9936065160946606
2013-10-29 00:10:00: Sum=10400, StdDev=2.0070930463161503
2013-10-29 00:55:00: Sum=10152, StdDev=1.9549064579307265
2013-10-29 01:40:00: Sum=10361, StdDev=1.963898414421518
2013-10-29 02:25:00: Sum=10287, StdDev=1.9340544632110717
2013-10-29 03:10:00: Sum=10478, StdDev=1.9512198006791583
2013-10-29 03:55:00: Sum=10328, StdDev=1.9257982863686738
2013-10-29 04:40:00: Sum=10082, StdDev=1.9448950447913051
2013-10-29 05:25:00: Sum=10289, StdDev=1.9432969806508882
2013-10-29 06:10:00: Sum=10100, StdDev=1.9320415721428823
2013-10-29 06:55:00: Sum=10200, StdDev=1.9879886230640502
2013-10-29 07:40:00: Sum=9934, StdDev=1.931823022961445
2013-10-29 08:25:00: Sum=9446, StdDev=1.871916632568527
2013-10-29 09:10:00: Sum=10318, StdDev=1.9221856843740721
2013-10-29 09:55:00: Sum=9494, StdDev=1.9053805844155554
2013-10-29 10:40:00: Sum=9912, StdDev=1.9544769752835618
2013-10-29 11:25:00: Sum=10142, StdDev=1.937700332578588
2013-10-29 12:10:00: Sum=9163, StdDev=1.8585630613323953
2013-10-29 12:55:00: Sum=9943, StdDev=1.8923806143518698
2013-10-29 13:40:00: Sum=10200, StdDev=2.008561920293801
2013-10-29 14:25:00: Sum=10224, StdDev=1.943566786053891
2013-10-29 15:10:00: Sum=10415, StdDev=1.9404182302002004
2013-10-29 15:55:00: Sum=10084, StdDev=1.9356430080454752
2013-10-29 16:40:00: Sum=9953, StdDev=1.9275097120342306
2013-10-29 17:25:00: Sum=10122, StdDev=1.9363718141072843
2013-10-29 18:10:00: Sum=10110, StdDev=1.9535027103913043
2013-10-29 18:55:00: Sum=10044, StdDev=1.9554595936050998
2013-10-29 19:40:00: Sum=10085, StdDev=1.917720232889139
2013-10-29 20:25:00: Sum=9954, StdDev=1.933038291663421
2013-10-29 21:10:00: Sum=10079, StdDev=1.9306942040984556
2013-10-29 21:55:00: Sum=10094, StdDev=1.9447359217160103
2013-10-29 22:40:00: Sum=10075, StdDev=1.9518580012553353
2013-10-29 23:25:00: Sum=10039, StdDev=1.9718867389851424
2013-10-30 00:10:00: Sum=9933, StdDev=1.9100704530991701
2013-10-30 00:55:00: Sum=10080, StdDev=1.9531550923607717
2013-10-30 01:40:00: Sum=10072, StdDev=1.963906691382108
2013-10-30 02:25:00: Sum=10274, StdDev=1.9225299118616448
2013-10-30 03:10:00: Sum=10104, StdDev=1.8991798099751598
2013-10-30 03:55:00: Sum=10116, StdDev=1.9118267393991228
2013-10-30 04:40:00: Sum=9950, StdDev=1.938919841275454
2013-10-30 05:25:00: Sum=10068, StdDev=1.9084167052789214
2013-10-30 06:10:00: Sum=10218, StdDev=1.9939302958457095
2013-10-30 06:55:00: Sum=10110, StdDev=1.9701162464919064
2013-10-30 07:40:00: Sum=10034, StdDev=1.951512515305421
2013-10-30 08:25:00: Sum=10189, StdDev=1.9305279418932861
2013-10-30 09:10:00: Sum=10137, StdDev=1.971293678129187
2013-10-30 09:55:00: Sum=10070, StdDev=1.9007434831538195
2013-10-30 10:40:00: Sum=10001, StdDev=1.946940162026823
2013-10-30 11:25:00: Sum=10111, StdDev=1.9511798337119581
2013-10-30 12:10:00: Sum=9911, StdDev=1.9415809250042069
2013-10-30 12:55:00: Sum=10202, StdDev=1.9527335137142985
2013-10-30 13:40:00: Sum=10113, StdDev=1.95847603892969
2013-10-30 14:25:00: Sum=10002, StdDev=1.9438551487974027
2013-10-30 15:10:00: Sum=9897, StdDev=1.9395490757606395
2013-10-30 15:55:00: Sum=10015, StdDev=1.9116377037928538
2013-10-30 16:40:00: Sum=10197, StdDev=1.9348968773363415
2013-10-30 17:25:00: Sum=10082, StdDev=1.9338184434663999
2013-10-30 18:10:00: Sum=9910, StdDev=1.9098797353672636
2013-10-30 18:55:00: Sum=10104, StdDev=1.9615363089573499
2013-10-30 19:40:00: Sum=10269, StdDev=1.967379343563788
2013-10-30 20:25:00: Sum=10096, StdDev=1.9193400214578502
