2021-10-20 15:10:00: Sum=3255, StdDev=1.8787554982546883
2021-10-20 15:25:00: Sum=3149, StdDev=1.8970734446301722
2021-10-20 15:40:00: Sum=3145, StdDev=1.8764541686152585
2021-10-20 15:55:00: Sum=3235, StdDev=1.951344898673796
2021-10-20 16:10:00: Sum=3175, StdDev=1.7970053965032293
2021-10-20 16:25:00: Sum=3186, StdDev=1.8884326246328669
2021-10-20 16:40:00: Sum=3261, StdDev=1.8741842669990236
2021-10-20 16:55:00: Sum=3153, StdDev=1.9116572217145344
2021-10-20 17:10:00: Sum=3140, StdDev=1.8519925872448508
2021-10-20 17:25:00: Sum=3122, StdDev=1.8141814465448747
2021-10-20 17:40:00: Sum=3216, StdDev=1.8631395248045404
2021-10-20 17:55:00: Sum=3158, StdDev=1.9087310761308556
2021-10-20 18:10:00: Sum=3185, StdDev=1.8450049349192925
2021-10-20 18:25:00: Sum=3086, StdDev=1.8142794372817024
2021-10-20 18:40:00: Sum=3160, StdDev=1.7829092607585966
2021-10-20 18:55:00: Sum=3114, StdDev=1.8966520210330857
2021-10-20 19:10:00: Sum=3135, StdDev=1.9092610554289788
2021-10-20 19:25:00: Sum=3162, StdDev=1.8561728846682837
2021-10-20 19:40:00: Sum=3101, StdDev=1.8602067454459112
2021-10-20 19:55:00: Sum=3131, StdDev=1.8253154640252944
2021-10-20 20:10:00: Sum=3206, StdDev=1.961154862590338
2021-10-20 20:25:00: Sum=3167, StdDev=1.8852288068881686
2021-10-20 20:40:00: Sum=3158, StdDev=1.8681330219377636
2021-10-20 20:55:00: Sum=3183, StdDev=1.930397195743232
2021-10-20 21:10:00: Sum=3208, StdDev=1.87713203887154
2021-10-20 21:25:00: Sum=3084, StdDev=1.808056046328948
2021-10-20 21:40:00: Sum=3123, StdDev=1.881544873531086
2021-10-20 21:55:00: Sum=3176, StdDev=1.7883104654918436
2021-10-20 22:10:00: Sum=3162, StdDev=1.868106587489649
2021-10-20 22:25:00: Sum=3178, StdDev=1.8950605058909475
2021-10-20 22:40:00: Sum=3006, StdDev=1.935619338150511
2021-10-20 22:55:00: Sum=3145, StdDev=1.9058308838993798
2021-10-20 23:10:00: Sum=3171, StdDev=1.9294530025084542
2021-10-20 23:25:00: Sum=3167, StdDev=1.8465219223926215
