2023-02-28 13:25:00: Sum=3722, StdDev=2.111729733923308
2023-02-28 13:40:00: Sum=3724, StdDev=2.0550521906201893
2023-02-28 13:55:00: Sum=3665, StdDev=2.128720417829441
2023-02-28 14:10:00: Sum=3581, StdDev=2.0679025575820345
2023-02-28 14:25:00: Sum=3647, StdDev=2.0721823052455686
2023-02-28 14:40:00: Sum=3673, StdDev=1.9835655015061722
2023-02-28 14:55:00: Sum=3668, StdDev=1.9632349217617058
2023-02-28 15:10:00: Sum=3700, StdDev=2.052339826985799
2023-02-28 15:25:00: Sum=3577, StdDev=1.960275553822365
2023-02-28 15:40:00: Sum=3652, StdDev=2.019074473216642
2023-02-28 15:55:00: Sum=3661, StdDev=2.05341600362679
2023-02-28 16:10:00: Sum=3643, StdDev=1.9666512868199635
2023-02-28 16:25:00: Sum=3599, StdDev=2.0327865081346643
2023-02-28 16:40:00: Sum=3555, StdDev=1.8852497624099218
2023-02-28 16:55:00: Sum=3608, StdDev=1.9333128989980124
2023-02-28 17:10:00: Sum=3708, StdDev=2.0782043531215435
2023-02-28 17:25:00: Sum=3671, StdDev=2.058963841053415
2023-02-28 17:40:00: Sum=3683, StdDev=1.9712786475211566
2023-02-28 17:55:00: Sum=3657, StdDev=2.014775973209484
2023-02-28 18:10:00: Sum=3563, StdDev=1.9797527592238182
2023-02-28 18:25:00: Sum=3646, StdDev=1.91881007365644
2023-02-28 18:40:00: Sum=3685, StdDev=1.9728637454281255
2023-02-28 18:55:00: Sum=3640, StdDev=1.9505618057433327
2023-02-28 19:10:00: Sum=3692, StdDev=2.098834479619464
2023-02-28 19:25:00: Sum=3622, StdDev=1.9394908330172702
2023-02-28 19:40:00: Sum=3609, StdDev=2.0376756911300244
2023-02-28 19:55:00: Sum=3674, StdDev=1.9932986495186413
2023-02-28 20:10:00: Sum=3636, StdDev=2.040849496329082
2023-02-28 20:25:00: Sum=3670, StdDev=2.0134424792588317
2023-02-28 20:40:00: Sum=3665, StdDev=1.8809883795363058
2023-02-28 20:55:00: Sum=3677, StdDev=2.0337191497959872
2023-02-28 21:10:00: Sum=3631, StdDev=1.948199231832715
2023-02-28 21:25:00: Sum=3621, StdDev=2.0424685500094677
2023-02-28 21:40:00: Sum=3571, StdDev=1.9356496341468512
2023-02-28 21:55:00: Sum=3717, StdDev=2.0515008056434088
2023-02-28 22:10:00: Sum=3694, StdDev=2.0374772588293872
2023-02-28 22:25:00: Sum=3742, StdDev=2.025283397331389
2023-02-28 22:40:00: Sum=3612, StdDev=2.028639390768546
2023-02-28 22:55:00: Sum=3613, StdDev=2.0272620348698616
2023-02-28 23:10:00: Sum=3650, StdDev=2.1074529709322953
2023-02-28 23:25:00: Sum=3633, StdDev=1.9871224309426825
2023-02-28 23:40:00: Sum=3648, StdDev=1.9746842222942325
2023-02-28 23:55:00: Sum=3691, StdDev=1.946449442471796
2023-03-01 00:10:00: Sum=3607, StdDev=1.9186064258424527
2023-03-01 00:25:00: Sum=3646, StdDev=2.013744132728576
2023-03-01 00:40:00: Sum=3729, StdDev=2.051695775585541
2023-03-01 00:55:00: Sum=3618, StdDev=2.0584891978773605
2023-03-01 01:10:00: Sum=3702, StdDev=1.9783382476771314
2023-03-01 01:25:00: Sum=3657, StdDev=1.9469035244031312
