2023-01-09 10:55:00: Sum=3434, StdDev=1.9480423855251379
2023-01-09 11:10:00: Sum=3556, StdDev=1.9747992553081017
2023-01-09 11:25:00: Sum=3452, StdDev=1.959496029941889
2023-01-09 11:40:00: Sum=3445, StdDev=1.905636538609593
2023-01-09 11:55:00: Sum=3512, StdDev=1.995939087123195
2023-01-09 12:10:00: Sum=3535, StdDev=1.932846362680799
2023-01-09 12:25:00: Sum=3458, StdDev=1.9019275472692772
2023-01-09 12:40:00: Sum=3441, StdDev=1.9919030543120761
2023-01-09 12:55:00: Sum=3538, StdDev=2.0455178341624265
2023-01-09 13:10:00: Sum=3557, StdDev=1.9649556273066195
2023-01-09 13:25:00: Sum=3567, StdDev=1.971403899086469
2023-01-09 13:40:00: Sum=3483, StdDev=2.028625697910342
2023-01-09 13:55:00: Sum=3567, StdDev=2.0569097641310807
2023-01-09 14:10:00: Sum=3483, StdDev=1.9730940170199696
2023-01-09 14:25:00: Sum=3533, StdDev=1.9584609099500734
2023-01-09 14:40:00: Sum=3428, StdDev=1.9116975844314361
2023-01-09 14:55:00: Sum=3539, StdDev=1.9358792304949521
2023-01-09 15:10:00: Sum=3459, StdDev=1.9341693594696177
2023-01-09 15:25:00: Sum=3480, StdDev=2.0105278466666965
2023-01-09 15:40:00: Sum=3439, StdDev=2.0022761738939034
2023-01-09 15:55:00: Sum=3496, StdDev=1.9419298025481486
2023-01-09 16:10:00: Sum=3490, StdDev=1.951226268431543
2023-01-09 16:25:00: Sum=3405, StdDev=1.911006134067718
2023-01-09 16:40:00: Sum=3468, StdDev=1.9185179465178614
2023-01-09 16:55:00: Sum=3594, StdDev=1.9573110807091105
2023-01-09 17:10:00: Sum=3470, StdDev=1.9354075718400512
2023-01-09 17:25:00: Sum=3476, StdDev=1.963250013952362
2023-01-09 17:40:00: Sum=3388, StdDev=1.9061485957647168
2023-01-09 17:55:00: Sum=3466, StdDev=1.9742928097841599
2023-01-09 18:10:00: Sum=3505, StdDev=1.9638319180798383
2023-01-09 18:25:00: Sum=3502, StdDev=1.989229021195255
2023-01-09 18:40:00: Sum=3529, StdDev=1.9645182866966222
2023-01-09 18:55:00: Sum=3420, StdDev=2.0248456731316584
2023-01-09 19:10:00: Sum=3533, StdDev=2.081135433209003
2023-01-09 19:25:00: Sum=3507, StdDev=2.004824736036101
2023-01-09 19:40:00: Sum=3532, StdDev=1.9784568122717996
2023-01-09 19:55:00: Sum=3411, StdDev=2.0119945880201127
2023-01-09 20:10:00: Sum=3402, StdDev=1.9772146514169315
2023-01-09 20:25:00: Sum=3538, StdDev=1.9798229126444866
2023-01-09 20:40:00: Sum=3525, StdDev=1.955831735548275
2023-01-09 20:55:00: Sum=3387, StdDev=1.9940439090228457
2023-01-09 21:10:00: Sum=3362, StdDev=1.8752961905974042
2023-01-09 21:25:00: Sum=3447, StdDev=1.901750655463422
2023-01-09 21:40:00: Sum=3510, StdDev=1.912822231387143
2023-01-09 21:55:00: Sum=3537, StdDev=2.000163882174547
2023-01-09 22:10:00: Sum=3394, StdDev=1.93587444751544
2023-01-09 22:25:00: Sum=3437, StdDev=1.8819253996576335
2023-01-09 22:40:00: Sum=3435, StdDev=1.920286436967152
2023-01-09 22:55:00: Sum=3507, StdDev=1.9718547388464271
2023-01-09 23:10:00: Sum=3522, StdDev=1.9869686571369072
2023-01-09 23:25:00: Sum=3335, StdDev=1.8805945343080035
2023-01-09 23:40:00: Sum=3492, StdDev=1.9093454375780199
2023-01-09 23:55:00: Sum=3391, StdDev=1.8590515967842778
2023-01-10 00:10:00: Sum=3449, StdDev=1.9424113180258864
2023-01-10 00:25:00: Sum=3396, StdDev=1.8371959310016144
2023-01-10 00:40:00: Sum=3484, StdDev=1.9846771046889577
2023-01-10 00:55:00: Sum=3522, StdDev=1.9047426189499843
2023-01-10 01:10:00: Sum=3397, StdDev=1.9018155717986438
2023-01-10 01:25:00: Sum=3487, StdDev=1.9829305535612975
2023-01-10 01:40:00: Sum=3444, StdDev=1.9507719269845747
2023-01-10 01:55:00: Sum=3411, StdDev=1.8455080601287006
2023-01-10 02:10:00: Sum=3456, StdDev=1.9547548865949067
2023-01-10 02:25:00: Sum=3479, StdDev=1.9358409663279625
2023-01-10 02:40:00: Sum=3411, StdDev=1.9785825453816397
2023-01-10 02:55:00: Sum=3398, StdDev=1.919103442936664
2023-01-10 03:10:00: Sum=3431, StdDev=1.9041666464057054
2023-01-10 03:25:00: Sum=3427, StdDev=1.8831845237833928
2023-01-10 03:40:00: Sum=3364, StdDev=1.940250715630888
2023-01-10 03:55:00: Sum=3376, StdDev=1.9091152368713422
2023-01-10 04:10:00: Sum=3316, StdDev=1.8655896363772029
2023-01-10 04:25:00: Sum=3486, StdDev=1.936652323526921
2023-01-10 04:40:00: Sum=3591, StdDev=1.9609833134311865
2023-01-10 04:55:00: Sum=3476, StdDev=1.9885549067812913
2023-01-10 05:10:00: Sum=3399, StdDev=1.9669802009962152
2023-01-10 05:25:00: Sum=3423, StdDev=1.918966735858997
2023-01-10 05:40:00: Sum=3423, StdDev=1.9149093393102916
2023-01-10 05:55:00: Sum=3423, StdDev=1.9590785816012815
2023-01-10 06:10:00: Sum=3460, StdDev=1.9743415842649985
2023-01-10 06:25:00: Sum=3454, StdDev=1.9488787532993757
2023-01-10 06:40:00: Sum=3391, StdDev=1.8851659389252582
2023-01-10 06:55:00: Sum=3459, StdDev=1.942195207033068
2023-01-10 07:10:00: Sum=3459, StdDev=1.922067752303348
2023-01-10 07:25:00: Sum=3514, StdDev=2.0209409860596628
2023-01-10 07:40:00: Sum=3358, StdDev=1.8993943154153377
2023-01-10 07:55:00: Sum=3365, StdDev=1.8925699426056413
2023-01-10 08:10:00: Sum=3523, StdDev=2.0095362157645074
2023-01-10 08:25:00: Sum=3471, StdDev=1.9822854374573695
2023-01-10 08:40:00: Sum=3522, StdDev=1.9627758121825551
2023-01-10 08:55:00: Sum=3394, StdDev=1.9022936123675338
2023-01-10 09:10:00: Sum=3476, StdDev=2.0046932587626456
2023-01-10 09:25:00: Sum=3511, StdDev=2.0314742563766313
2023-01-10 09:40:00: Sum=3404, StdDev=1.933136643890084
2023-01-10 09:55:00: Sum=3478, StdDev=2.0081672745239967
2023-01-10 10:10:00: Sum=3343, StdDev=1.8677414234019007
2023-01-10 10:25:00: Sum=3445, StdDev=1.9126205279538901
2023-01-10 10:40:00: Sum=3520, StdDev=1.9957980550504626
2023-01-10 10:55:00: Sum=3508, StdDev=1.9156071145420062
2023-01-10 11:10:00: Sum=3436, StdDev=1.9448266291070653
2023-01-10 11:25:00: Sum=3471, StdDev=1.9495042104767732
2023-01-10 11:40:00: Sum=3406, StdDev=1.9172266492752905
2023-01-10 11:55:00: Sum=3353, StdDev=1.908813541392262
2023-01-10 12:10:00: Sum=3390, StdDev=1.9502136635080098
2023-01-10 12:25:00: Sum=3451, StdDev=1.977184367905876
2023-01-10 12:40:00: Sum=3585, StdDev=2.038177290293135
2023-01-10 12:55:00: Sum=3442, StdDev=1.990048079324892
2023-01-10 13:10:00: Sum=3424, StdDev=1.981464728208858
2023-01-10 13:25:00: Sum=3487, StdDev=1.9208829631252111
2023-01-10 13:40:00: Sum=3406, StdDev=1.8535797864379504
2023-01-10 13:55:00: Sum=3452, StdDev=2.0242041569801703
2023-01-10 14:10:00: Sum=3668, StdDev=2.016284322494177
2023-01-10 14:25:00: Sum=3497, StdDev=2.062148885190242
2023-01-10 14:40:00: Sum=3548, StdDev=1.885911378722516
2023-01-10 14:55:00: Sum=3579, StdDev=2.1209300894759457
2023-01-10 15:10:00: Sum=3500, StdDev=1.9479016883955722
2023-01-10 15:25:00: Sum=3526, StdDev=2.049367261580878
2023-01-10 15:40:00: Sum=3357, StdDev=1.937750700626316
2023-01-10 15:55:00: Sum=3479, StdDev=1.928364944201354
2023-01-10 16:10:00: Sum=3313, StdDev=1.9199186582563825
2023-01-10 16:25:00: Sum=3481, StdDev=1.9215923823617267
2023-01-10 16:40:00: Sum=3418, StdDev=1.9093906984968199
2023-01-10 16:55:00: Sum=3531, StdDev=1.9549680304291424
2023-01-10 17:10:00: Sum=3456, StdDev=1.9220822042774341
2023-01-10 17:25:00: Sum=3448, StdDev=2.0276776230973885
2023-01-10 17:40:00: Sum=3574, StdDev=1.948004360276003
2023-01-10 17:55:00: Sum=3529, StdDev=2.061660304190907
2023-01-10 18:10:00: Sum=3529, StdDev=1.9548796180296255
2023-01-10 18:25:00: Sum=3493, StdDev=1.9299622589542145
2023-01-10 18:40:00: Sum=3454, StdDev=1.891006655947965
2023-01-10 18:55:00: Sum=3520, StdDev=2.0179441928438204
2023-01-10 19:10:00: Sum=3448, StdDev=1.8786309698787715
2023-01-10 19:25:00: Sum=3505, StdDev=2.062622985483996
2023-01-10 19:40:00: Sum=3409, StdDev=1.9699028615519643
2023-01-10 19:55:00: Sum=3595, StdDev=2.0480267528152347
2023-01-10 20:10:00: Sum=3523, StdDev=1.9431967425474224
2023-01-10 20:25:00: Sum=3567, StdDev=2.006597451740965
2023-01-10 20:40:00: Sum=3510, StdDev=1.9919281557771549
2023-01-10 20:55:00: Sum=3586, StdDev=2.023688113382819
2023-01-10 21:10:00: Sum=3539, StdDev=2.0206889791893468
2023-01-10 21:25:00: Sum=3494, StdDev=1.9331941201474931
2023-01-10 21:40:00: Sum=3507, StdDev=1.9953807768053808
2023-01-10 21:55:00: Sum=3489, StdDev=2.0202612592324676
2023-01-10 22:10:00: Sum=3526, StdDev=1.9703117507292416
2023-01-10 22:25:00: Sum=3526, StdDev=1.8660461931746837
2023-01-10 22:40:00: Sum=3545, StdDev=1.90835557159936
2023-01-10 22:55:00: Sum=3610, StdDev=1.9865908511509216
2023-01-10 23:10:00: Sum=3490, StdDev=1.9934770169941638
2023-01-10 23:25:00: Sum=3406, StdDev=1.886849879862148
2023-01-10 23:40:00: Sum=3542, StdDev=1.9833367569220373
2023-01-10 23:55:00: Sum=3417, StdDev=1.9932636554154097
2023-01-11 00:10:00: Sum=3592, StdDev=1.9742590421300086
2023-01-11 00:25:00: Sum=3571, StdDev=2.000573683154008
2023-01-11 00:40:00: Sum=3536, StdDev=2.0367318289872816
2023-01-11 00:55:00: Sum=3478, StdDev=1.8771912298911497
2023-01-11 01:10:00: Sum=3450, StdDev=1.9773719933285188
2023-01-11 01:25:00: Sum=3691, StdDev=1.979281263738849
2023-01-11 01:40:00: Sum=3486, StdDev=1.9446679236654605
2023-01-11 01:55:00: Sum=3622, StdDev=1.9071392835641503
2023-01-11 02:10:00: Sum=3506, StdDev=1.9379778184208813
2023-01-11 02:25:00: Sum=3442, StdDev=1.9056239054797257
2023-01-11 02:40:00: Sum=3501, StdDev=1.9613232494642205
2023-01-11 02:55:00: Sum=3496, StdDev=1.9544769752835618
2023-01-11 03:10:00: Sum=3475, StdDev=1.9234341073798444
2023-01-11 03:25:00: Sum=3568, StdDev=1.986303720264301
2023-01-11 03:40:00: Sum=3571, StdDev=1.912550814301139
2023-01-11 03:55:00: Sum=3471, StdDev=1.8939992960223966
2023-01-11 04:10:00: Sum=3434, StdDev=1.914674971610999
2023-01-11 04:25:00: Sum=3552, StdDev=1.852157900636144
2023-01-11 04:40:00: Sum=3516, StdDev=1.9681237540132255
2023-01-11 04:55:00: Sum=3619, StdDev=2.0646761620944303
2023-01-11 05:10:00: Sum=3404, StdDev=1.8907128448625918
2023-01-11 05:25:00: Sum=3422, StdDev=1.9467338902649671
2023-01-11 05:40:00: Sum=3483, StdDev=2.028625697910342
2023-01-11 05:55:00: Sum=3486, StdDev=1.9594670477226994
2023-01-11 06:10:00: Sum=3500, StdDev=1.9750918090866023
2023-01-11 06:25:00: Sum=3468, StdDev=1.9352404386937443
2023-01-11 06:40:00: Sum=3479, StdDev=1.9637640224330593
2023-01-11 06:55:00: Sum=3516, StdDev=1.9833081230890752
2023-01-11 07:10:00: Sum=3447, StdDev=1.877051470317802
2023-01-11 07:25:00: Sum=3414, StdDev=1.9486633595592875
2023-01-11 07:40:00: Sum=3507, StdDev=1.9622521074860217
2023-01-11 07:55:00: Sum=3435, StdDev=2.009629595500402
2023-01-11 08:10:00: Sum=3536, StdDev=1.950911151484776
2023-01-11 08:25:00: Sum=3473, StdDev=1.963862093169389
2023-01-11 08:40:00: Sum=3527, StdDev=1.9267355491979719
2023-01-11 08:55:00: Sum=3536, StdDev=2.0514084291554124
2023-01-11 09:10:00: Sum=3388, StdDev=1.9430966757621773
2023-01-11 09:25:00: Sum=3548, StdDev=2.037699017016649
2023-01-11 09:40:00: Sum=3470, StdDev=2.0825257694076473
2023-01-11 09:55:00: Sum=3462, StdDev=1.9569931584505404
2023-01-11 10:10:00: Sum=3515, StdDev=1.935335808421377
2023-01-11 10:25:00: Sum=3454, StdDev=1.925361598233074
2023-01-11 10:40:00: Sum=3513, StdDev=1.929476037108981
2023-01-11 10:55:00: Sum=3606, StdDev=1.9067016313810379
2023-01-11 11:10:00: Sum=3422, StdDev=1.9683031483871118
2023-01-11 11:25:00: Sum=3472, StdDev=1.9089833115956296
2023-01-11 11:40:00: Sum=3611, StdDev=1.9581356086156023
2023-01-11 11:55:00: Sum=3424, StdDev=1.9216839323370711
2023-01-11 12:10:00: Sum=3403, StdDev=1.8257050050410932
2023-01-11 12:25:00: Sum=3467, StdDev=1.9365908061893933
2023-01-11 12:40:00: Sum=3576, StdDev=1.9537314725075876
2023-01-11 12:55:00: Sum=3497, StdDev=1.9622017741478923
2023-01-11 13:10:00: Sum=3466, StdDev=2.0445181146147013
2023-01-11 13:25:00: Sum=3494, StdDev=1.914133269351825
2023-01-11 13:40:00: Sum=3426, StdDev=1.9760679250583582
2023-01-11 13:55:00: Sum=3457, StdDev=1.9900527321011394
2023-01-11 14:10:00: Sum=3421, StdDev=1.9503272913051994
2023-01-11 14:25:00: Sum=3446, StdDev=1.9343815804451385
2023-01-11 14:40:00: Sum=3474, StdDev=1.9653554951260654
2023-01-11 14:55:00: Sum=3544, StdDev=1.9369264184829749
2023-01-11 15:10:00: Sum=3503, StdDev=1.9834161202765392
2023-01-11 15:25:00: Sum=3481, StdDev=1.938288350167503
2023-01-11 15:40:00: Sum=3427, StdDev=1.943577902150669
2023-01-11 15:55:00: Sum=3418, StdDev=1.951977787770808
2023-01-11 16:10:00: Sum=3367, StdDev=1.9386933998870044
2023-01-11 16:25:00: Sum=3533, StdDev=2.001114195814761
2023-01-11 16:40:00: Sum=3488, StdDev=1.9624424187510776
2023-01-11 16:55:00: Sum=3402, StdDev=1.9219318984350675
2023-01-11 17:10:00: Sum=3429, StdDev=1.9608699883243437
2023-01-11 17:25:00: Sum=3492, StdDev=1.9700648607483855
2023-01-11 17:40:00: Sum=3457, StdDev=2.005071040273439
2023-01-11 17:55:00: Sum=3434, StdDev=2.012014530050865
2023-01-11 18:10:00: Sum=3406, StdDev=1.9235910347929472
2023-01-11 18:25:00: Sum=3404, StdDev=1.938302681200905
2023-01-11 18:40:00: Sum=3443, StdDev=1.9314968928045368
2023-01-11 18:55:00: Sum=3499, StdDev=2.0274958708152377
2023-01-11 19:10:00: Sum=3560, StdDev=1.9917112190894826
2023-01-11 19:25:00: Sum=3418, StdDev=1.9041462232470943
2023-01-11 19:40:00: Sum=3441, StdDev=1.9739723064588992
2023-01-11 19:55:00: Sum=3534, StdDev=1.9886231976476143
2023-01-11 20:10:00: Sum=3495, StdDev=2.0403567226236583
2023-01-11 20:25:00: Sum=3371, StdDev=1.9254818220158767
