2023-02-15 12:40:00: Sum=3654, StdDev=1.9918612178339914
2023-02-15 12:55:00: Sum=3781, StdDev=2.113080660207558
2023-02-15 13:10:00: Sum=3773, StdDev=1.9988178605131015
2023-02-15 13:25:00: Sum=3705, StdDev=2.0234047214204742
2023-02-15 13:40:00: Sum=3790, StdDev=2.064485109036173
2023-02-15 13:55:00: Sum=3658, StdDev=2.038589442134008
2023-02-15 14:10:00: Sum=3725, StdDev=2.0525428372546655
2023-02-15 14:25:00: Sum=3808, StdDev=1.9944168986027215
2023-02-15 14:40:00: Sum=3762, StdDev=1.9902093692205687
2023-02-15 14:55:00: Sum=3732, StdDev=2.0040625406076193
2023-02-15 15:10:00: Sum=3734, StdDev=1.9647020947175822
2023-02-15 15:25:00: Sum=3744, StdDev=2.0190646899547877
2023-02-15 15:40:00: Sum=3856, StdDev=2.0899713507399045
2023-02-15 15:55:00: Sum=3726, StdDev=2.091347253167999
2023-02-15 16:10:00: Sum=3743, StdDev=2.1024532994916223
2023-02-15 16:25:00: Sum=3725, StdDev=1.9583550038202098
2023-02-15 16:40:00: Sum=3677, StdDev=1.9956653644620834
2023-02-15 16:55:00: Sum=3772, StdDev=2.0311816180322473
2023-02-15 17:10:00: Sum=3784, StdDev=2.0117383920442267
2023-02-15 17:25:00: Sum=3807, StdDev=2.0681150838384212
2023-02-15 17:40:00: Sum=3797, StdDev=2.0275543255878192
2023-02-15 17:55:00: Sum=3846, StdDev=2.0700939323829948
2023-02-15 18:10:00: Sum=3857, StdDev=2.0858284318019975
2023-02-15 18:25:00: Sum=3763, StdDev=1.9803139170031965
2023-02-15 18:40:00: Sum=3750, StdDev=2.1142374511865976
2023-02-15 18:55:00: Sum=3766, StdDev=2.087896927591713
2023-02-15 19:10:00: Sum=3812, StdDev=2.000017283875934
2023-02-15 19:25:00: Sum=3705, StdDev=2.0002083224837692
2023-02-15 19:40:00: Sum=3868, StdDev=2.0423830186969654
2023-02-15 19:55:00: Sum=3695, StdDev=1.9980468858424447
2023-02-15 20:10:00: Sum=3752, StdDev=2.1219301718767722
2023-02-15 20:25:00: Sum=3945, StdDev=2.1304016314092307
2023-02-15 20:40:00: Sum=3849, StdDev=2.0309029190649825
2023-02-15 20:55:00: Sum=3831, StdDev=2.038438945206192
2023-02-15 21:10:00: Sum=3855, StdDev=2.1251797309613343
2023-02-15 21:25:00: Sum=3757, StdDev=2.014285708031571
2023-02-15 21:40:00: Sum=3777, StdDev=2.121893808213157
2023-02-15 21:55:00: Sum=3745, StdDev=2.0433194368447762
2023-02-15 22:10:00: Sum=3853, StdDev=2.083767658430514
2023-02-15 22:25:00: Sum=3834, StdDev=2.065903084744189
2023-02-15 22:40:00: Sum=3934, StdDev=2.1597450695468896
2023-02-15 22:55:00: Sum=3775, StdDev=1.99637789292459
2023-02-15 23:10:00: Sum=3769, StdDev=2.1074643942044444
2023-02-15 23:25:00: Sum=3759, StdDev=2.052345541623589
2023-02-15 23:40:00: Sum=3864, StdDev=2.047372299640037
2023-02-15 23:55:00: Sum=3868, StdDev=2.05052718304222
2023-02-16 00:10:00: Sum=3639, StdDev=2.0059107103203218
2023-02-16 00:25:00: Sum=3724, StdDev=2.0019200659909684
2023-02-16 00:40:00: Sum=3746, StdDev=2.0667514916881182
2023-02-16 00:55:00: Sum=3861, StdDev=1.986988229009478
2023-02-16 01:10:00: Sum=3732, StdDev=2.0716713596085223
2023-02-16 01:25:00: Sum=3729, StdDev=1.9962492607665785
2023-02-16 01:40:00: Sum=3824, StdDev=2.0499996988858555
2023-02-16 01:55:00: Sum=3799, StdDev=1.9267124818338415
2023-02-16 02:10:00: Sum=3778, StdDev=2.0157148044402278
2023-02-16 02:25:00: Sum=3887, StdDev=1.9909458636785595
2023-02-16 02:40:00: Sum=3828, StdDev=2.1838396359521353
2023-02-16 02:55:00: Sum=3841, StdDev=2.1014454167325343
2023-02-16 03:10:00: Sum=3878, StdDev=2.0965921790925623
2023-02-16 03:25:00: Sum=3886, StdDev=1.98693386222076
2023-02-16 03:40:00: Sum=3871, StdDev=2.1069722586606194
2023-02-16 03:55:00: Sum=3853, StdDev=2.075753916288647
2023-02-16 04:10:00: Sum=3828, StdDev=2.059730295181602
2023-02-16 04:25:00: Sum=3809, StdDev=2.103031028342863
2023-02-16 04:40:00: Sum=3770, StdDev=1.9944057563564277
2023-02-16 04:55:00: Sum=3716, StdDev=2.0647972429081234
2023-02-16 05:10:00: Sum=3758, StdDev=2.0282072604539274
2023-02-16 05:25:00: Sum=3771, StdDev=2.099870366369209
2023-02-16 05:40:00: Sum=3776, StdDev=2.023084065431407
2023-02-16 05:55:00: Sum=3737, StdDev=2.0061421118254574
2023-02-16 06:10:00: Sum=3844, StdDev=2.004397634338858
2023-02-16 06:25:00: Sum=3795, StdDev=2.107328482542134
2023-02-16 06:40:00: Sum=3759, StdDev=2.039855659381592
2023-02-16 06:55:00: Sum=3822, StdDev=1.975190567458689
2023-02-16 07:10:00: Sum=3819, StdDev=2.0815886027529817
2023-02-16 07:25:00: Sum=3885, StdDev=2.063640257193853
2023-02-16 07:40:00: Sum=3799, StdDev=2.051828152022508
2023-02-16 07:55:00: Sum=3914, StdDev=2.129801474548192
2023-02-16 08:10:00: Sum=3676, StdDev=2.0087536827656822
2023-02-16 08:25:00: Sum=3853, StdDev=1.8796804955715474
2023-02-16 08:40:00: Sum=3778, StdDev=2.00133165543888
2023-02-16 08:55:00: Sum=3772, StdDev=2.025155381936817
2023-02-16 09:10:00: Sum=3834, StdDev=2.0995131710840864
2023-02-16 09:25:00: Sum=3806, StdDev=2.101017977840712
2023-02-16 09:40:00: Sum=3803, StdDev=2.1881530065895562
2023-02-16 09:55:00: Sum=3843, StdDev=2.1143399285198523
2023-02-16 10:10:00: Sum=3760, StdDev=2.0263693739064883
2023-02-16 10:25:00: Sum=3775, StdDev=1.989129408175631
2023-02-16 10:40:00: Sum=3684, StdDev=2.083842604420977
2023-02-16 10:55:00: Sum=3751, StdDev=2.0826440341161296
2023-02-16 11:10:00: Sum=3736, StdDev=2.0026229713633312
2023-02-16 11:25:00: Sum=3847, StdDev=2.1058680506892116
2023-02-16 11:40:00: Sum=3823, StdDev=2.0176293998308332
2023-02-16 11:55:00: Sum=3740, StdDev=2.11928243155351
2023-02-16 12:10:00: Sum=3831, StdDev=2.0687382090969795
2023-02-16 12:25:00: Sum=3762, StdDev=2.0490756723730605
2023-02-16 12:40:00: Sum=3798, StdDev=2.0106494252134337
2023-02-16 12:55:00: Sum=3768, StdDev=1.9648692351174697
2023-02-16 13:10:00: Sum=3782, StdDev=2.054046292769349
2023-02-16 13:25:00: Sum=3721, StdDev=2.095691936177172
2023-02-16 13:40:00: Sum=3755, StdDev=2.128720417829441
2023-02-16 13:55:00: Sum=3808, StdDev=1.9652336273014828
2023-02-16 14:10:00: Sum=3770, StdDev=2.036306266227294
