2023-09-26 15:10:00: Sum=3924, StdDev=2.005924558235761
2023-09-26 15:25:00: Sum=3996, StdDev=2.103372952611538
2023-09-26 15:40:00: Sum=3984, StdDev=2.197513746638839
2023-09-26 15:55:00: Sum=3994, StdDev=2.064384642119119
2023-09-26 16:10:00: Sum=3902, StdDev=2.113623066948268
2023-09-26 16:25:00: Sum=3910, StdDev=2.1095608342923526
2023-09-26 16:40:00: Sum=4017, StdDev=2.185251066175743
2023-09-26 16:55:00: Sum=3774, StdDev=2.0764178556136312
2023-09-26 17:10:00: Sum=3870, StdDev=2.034972017279626
2023-09-26 17:25:00: Sum=3938, StdDev=2.0621084738744204
2023-09-26 17:40:00: Sum=4025, StdDev=2.0961089760568683
2023-09-26 17:55:00: Sum=3983, StdDev=2.0363399143840355
2023-09-26 18:10:00: Sum=3907, StdDev=2.108258599173179
2023-09-26 18:25:00: Sum=3947, StdDev=2.0675299869442236
2023-09-26 18:40:00: Sum=3832, StdDev=2.025996477883183
2023-09-26 18:55:00: Sum=3851, StdDev=2.020175704374055
2023-09-26 19:10:00: Sum=3951, StdDev=2.0854282800209436
2023-09-26 19:25:00: Sum=3903, StdDev=1.9410735861029758
2023-09-26 19:40:00: Sum=3855, StdDev=2.1552906480977865
2023-09-26 19:55:00: Sum=3844, StdDev=2.0612425834079597
2023-09-26 20:10:00: Sum=3778, StdDev=2.0668805146230382
2023-09-26 20:25:00: Sum=3951, StdDev=2.0832959996654874
2023-09-26 20:40:00: Sum=3870, StdDev=2.033333333333333
2023-09-26 20:55:00: Sum=3883, StdDev=2.1659004343131807
2023-09-26 21:10:00: Sum=3905, StdDev=2.078898984475754
2023-09-26 21:25:00: Sum=3926, StdDev=2.0906977983320827
2023-09-26 21:40:00: Sum=3908, StdDev=2.0935338427207917
2023-09-26 21:55:00: Sum=3964, StdDev=2.1162813880909708
2023-09-26 22:10:00: Sum=3839, StdDev=2.005418277850235
2023-09-26 22:25:00: Sum=3953, StdDev=2.0684254762058227
2023-09-26 22:40:00: Sum=3914, StdDev=2.122485149506715
2023-09-26 22:55:00: Sum=3920, StdDev=2.032574235960733
2023-09-26 23:10:00: Sum=3954, StdDev=2.1402907382980576
2023-09-26 23:25:00: Sum=4023, StdDev=2.1040146809796214
2023-09-26 23:40:00: Sum=3975, StdDev=2.022855517441729
2023-09-26 23:55:00: Sum=3950, StdDev=2.031936375012457
2023-09-27 00:10:00: Sum=3961, StdDev=2.0806513106580855
2023-09-27 00:25:00: Sum=3962, StdDev=2.0758921925431797
2023-09-27 00:40:00: Sum=4031, StdDev=2.0855585153592915
2023-09-27 00:55:00: Sum=3971, StdDev=2.0715173063764842
2023-09-27 01:10:00: Sum=3932, StdDev=2.093781504277445
2023-09-27 01:25:00: Sum=3986, StdDev=2.2006183193944198
2023-09-27 01:40:00: Sum=3867, StdDev=2.1012668136679413
2023-09-27 01:55:00: Sum=3857, StdDev=1.9987808012280948
2023-09-27 02:10:00: Sum=3882, StdDev=2.11335436372291
2023-09-27 02:25:00: Sum=3877, StdDev=2.063369831544601
2023-09-27 02:40:00: Sum=3906, StdDev=2.0655803596621998
2023-09-27 02:55:00: Sum=3991, StdDev=2.213878502694165
2023-09-27 03:10:00: Sum=3900, StdDev=2.1081851067789197
2023-09-27 03:25:00: Sum=3889, StdDev=2.1050729438110767
2023-09-27 03:40:00: Sum=4003, StdDev=2.1526587063844653
2023-09-27 03:55:00: Sum=3925, StdDev=2.119129509148322
2023-09-27 04:10:00: Sum=3816, StdDev=2.099777766018744
2023-09-27 04:25:00: Sum=3967, StdDev=2.092140200197862
2023-09-27 04:40:00: Sum=3918, StdDev=2.0454936921057576
2023-09-27 04:55:00: Sum=3890, StdDev=2.001265032022261
2023-09-27 05:10:00: Sum=3955, StdDev=2.072296692138197
2023-09-27 05:25:00: Sum=3833, StdDev=2.0850469989077753
2023-09-27 05:40:00: Sum=3965, StdDev=2.0936337953748745
2023-09-27 05:55:00: Sum=3835, StdDev=2.1196537686059562
2023-09-27 06:10:00: Sum=3890, StdDev=2.0200537824401152
2023-09-27 06:25:00: Sum=3989, StdDev=2.15480485209619
2023-09-27 06:40:00: Sum=4008, StdDev=2.07499397589487
2023-09-27 06:55:00: Sum=3919, StdDev=2.156110753242262
2023-09-27 07:10:00: Sum=3891, StdDev=2.07228001110961
2023-09-27 07:25:00: Sum=3874, StdDev=2.0007171553726604
2023-09-27 07:40:00: Sum=3915, StdDev=2.122040422695938
2023-09-27 07:55:00: Sum=3891, StdDev=2.055050688750361
2023-09-27 08:10:00: Sum=3939, StdDev=2.0475758024226276
2023-09-27 08:25:00: Sum=3915, StdDev=2.1931078911495034
2023-09-27 08:40:00: Sum=3930, StdDev=2.048576741707927
2023-09-27 08:55:00: Sum=3916, StdDev=2.034439286357925
2023-09-27 09:10:00: Sum=3891, StdDev=2.116314931405269
2023-09-27 09:25:00: Sum=3840, StdDev=2.083266665599966
2023-09-27 09:40:00: Sum=3876, StdDev=2.1352491397700852
2023-09-27 09:55:00: Sum=3915, StdDev=2.0829332949259585
2023-09-27 10:10:00: Sum=3866, StdDev=2.1559690325085383
2023-09-27 10:25:00: Sum=3904, StdDev=2.085749413828025
2023-09-27 10:40:00: Sum=3973, StdDev=2.0908297720767393
2023-09-27 10:55:00: Sum=3955, StdDev=2.0398726055598617
2023-09-27 11:10:00: Sum=3965, StdDev=2.141902638679043
2023-09-27 11:25:00: Sum=3961, StdDev=2.0747687659348366
2023-09-27 11:40:00: Sum=3921, StdDev=2.0785972834261734
2023-09-27 11:55:00: Sum=3831, StdDev=2.11809925273686
2023-09-27 12:10:00: Sum=3845, StdDev=2.053805561378831
2023-09-27 12:25:00: Sum=3851, StdDev=2.0771237829933353
2023-09-27 12:40:00: Sum=3949, StdDev=2.1611893730473595
2023-09-27 12:55:00: Sum=3938, StdDev=2.0502201026074744
2023-09-27 13:10:00: Sum=3925, StdDev=2.1420755482290974
2023-09-27 13:25:00: Sum=3813, StdDev=2.1516376192204034
2023-09-27 13:40:00: Sum=3866, StdDev=2.044336953695969
2023-09-27 13:55:00: Sum=3951, StdDev=2.0918120799387734
2023-09-27 14:10:00: Sum=3986, StdDev=1.9727163700195753
2023-09-27 14:25:00: Sum=3975, StdDev=2.0925131089460614
2023-09-27 14:40:00: Sum=3985, StdDev=2.092395107036579
2023-09-27 14:55:00: Sum=3914, StdDev=2.092433163379389
2023-09-27 15:10:00: Sum=3955, StdDev=2.030044395306068
2023-09-27 15:25:00: Sum=3962, StdDev=2.0982520650281895
2023-09-27 15:40:00: Sum=3926, StdDev=2.1134268001296315
2023-09-27 15:55:00: Sum=3949, StdDev=2.0724825573734713
2023-09-27 16:10:00: Sum=3940, StdDev=2.15291935018362
2023-09-27 16:25:00: Sum=3966, StdDev=2.154880764940629
2023-09-27 16:40:00: Sum=3884, StdDev=2.0780285053713294
2023-09-27 16:55:00: Sum=3982, StdDev=2.147831522003898
2023-09-27 17:10:00: Sum=3930, StdDev=2.053452377501525
2023-09-27 17:25:00: Sum=3971, StdDev=2.059683243056659
2023-09-27 17:40:00: Sum=3921, StdDev=2.0646522440568265
2023-09-27 17:55:00: Sum=3941, StdDev=2.043906632160005
2023-09-27 18:10:00: Sum=3946, StdDev=2.1835196414713924
2023-09-27 18:25:00: Sum=3872, StdDev=2.085344510721205
2023-09-27 18:40:00: Sum=3885, StdDev=1.9756152346941334
2023-09-27 18:55:00: Sum=3949, StdDev=2.1673500346827934
2023-09-27 19:10:00: Sum=3999, StdDev=2.103993557235594
2023-09-27 19:25:00: Sum=3826, StdDev=2.0600023972178305
2023-09-27 19:40:00: Sum=3960, StdDev=2.0330600909302543
2023-09-27 19:55:00: Sum=3938, StdDev=2.19470631348915
2023-09-27 20:10:00: Sum=4002, StdDev=2.0597842389704586
2023-09-27 20:25:00: Sum=4114, StdDev=2.122485149506715
2023-09-27 20:40:00: Sum=3860, StdDev=2.060983823562828
2023-09-27 20:55:00: Sum=3985, StdDev=2.125586338860555
2023-09-27 21:10:00: Sum=3959, StdDev=2.048250985295853
2023-09-27 21:25:00: Sum=4029, StdDev=2.116209924474518
2023-09-27 21:40:00: Sum=3958, StdDev=2.154993053754094
2023-09-27 21:55:00: Sum=4047, StdDev=2.134111837119445
2023-09-27 22:10:00: Sum=3979, StdDev=2.1611208226002874
2023-09-27 22:25:00: Sum=4058, StdDev=2.168186361631636
2023-09-27 22:40:00: Sum=3946, StdDev=2.217351328405187
2023-09-27 22:55:00: Sum=4006, StdDev=2.2511352417265402
2023-09-27 23:10:00: Sum=4002, StdDev=2.1412457433310483
2023-09-27 23:25:00: Sum=4051, StdDev=2.150193502633061
2023-09-27 23:40:00: Sum=3984, StdDev=2.111913297883646
2023-09-27 23:55:00: Sum=4075, StdDev=2.1623818029497923
2023-09-28 00:10:00: Sum=4010, StdDev=2.111666593586482
2023-09-28 00:25:00: Sum=4031, StdDev=2.1930696115234585
2023-09-28 00:40:00: Sum=3887, StdDev=2.169351897300433
2023-09-28 00:55:00: Sum=3973, StdDev=2.125091428679461
2023-09-28 01:10:00: Sum=3939, StdDev=2.117469663956907
2023-09-28 01:25:00: Sum=3957, StdDev=2.0681150838384212
2023-09-28 01:40:00: Sum=4043, StdDev=2.140338902436703
2023-09-28 01:55:00: Sum=4005, StdDev=2.148061141277563
2023-09-28 02:10:00: Sum=3988, StdDev=2.0940998832404474
2023-09-28 02:25:00: Sum=4012, StdDev=2.097987277674474
2023-09-28 02:40:00: Sum=3962, StdDev=2.087102072666403
2023-09-28 02:55:00: Sum=3970, StdDev=2.162274750989206
2023-09-28 03:10:00: Sum=4019, StdDev=2.2175893373516664
2023-09-28 03:25:00: Sum=3940, StdDev=2.059545676857333
2023-09-28 03:40:00: Sum=3985, StdDev=1.9670354330976674
2023-09-28 03:55:00: Sum=3956, StdDev=2.1053324420048307
2023-09-28 04:10:00: Sum=3973, StdDev=2.1762384015192167
2023-09-28 04:25:00: Sum=3916, StdDev=2.1393272278111923
2023-09-28 04:40:00: Sum=3966, StdDev=2.0755615036793187
2023-09-28 04:55:00: Sum=4031, StdDev=2.169126523866971
2023-09-28 05:10:00: Sum=4007, StdDev=2.051813711371683
2023-09-28 05:25:00: Sum=3932, StdDev=2.0927198912443767
2023-09-28 05:40:00: Sum=3873, StdDev=2.061873473863569
2023-09-28 05:55:00: Sum=3831, StdDev=2.134819794632689
2023-09-28 06:10:00: Sum=3978, StdDev=2.0931740916077137
2023-09-28 06:25:00: Sum=3920, StdDev=2.0634981684891374
2023-09-28 06:40:00: Sum=3995, StdDev=2.048207587376742
2023-09-28 06:55:00: Sum=3939, StdDev=2.071851024245389
2023-09-28 07:10:00: Sum=3941, StdDev=2.070909324934041
