2023-09-22 15:10:00: Sum=3073, StdDev=1.8892715298707718
2023-09-22 15:25:00: Sum=3175, StdDev=1.872106821369252
2023-09-22 15:40:00: Sum=3178, StdDev=1.862533784597056
2023-09-22 15:55:00: Sum=3269, StdDev=1.8948073943618637
2023-09-22 16:10:00: Sum=3104, StdDev=1.8579106810515496
2023-09-22 16:25:00: Sum=3071, StdDev=1.867281314149756
2023-09-22 16:40:00: Sum=3136, StdDev=1.8787650264712077
2023-09-22 16:55:00: Sum=3120, StdDev=1.8396859635395506
2023-09-22 17:10:00: Sum=3215, StdDev=1.918421097197599
2023-09-22 17:25:00: Sum=3078, StdDev=1.8859833862824278
2023-09-22 17:40:00: Sum=3044, StdDev=1.8331865261086153
2023-09-22 17:55:00: Sum=3130, StdDev=1.8075629866251643
2023-09-22 18:10:00: Sum=3137, StdDev=1.8483663123665064
2023-09-22 18:25:00: Sum=3033, StdDev=1.8564571994348087
2023-09-22 18:40:00: Sum=3097, StdDev=1.8779063072383118
2023-09-22 18:55:00: Sum=3084, StdDev=1.8451618417424045
2023-09-22 19:10:00: Sum=3069, StdDev=1.8462303937121896
2023-09-22 19:25:00: Sum=3165, StdDev=1.8210955188811182
2023-09-22 19:40:00: Sum=3145, StdDev=1.8970656353145399
2023-09-22 19:55:00: Sum=3133, StdDev=1.9185292077494296
2023-09-22 20:10:00: Sum=3133, StdDev=1.8537286415608973
2023-09-22 20:25:00: Sum=3094, StdDev=1.876022848580225
2023-09-22 20:40:00: Sum=3188, StdDev=1.877171499758659
2023-09-22 20:55:00: Sum=3166, StdDev=1.817420502787018
2023-09-22 21:10:00: Sum=3127, StdDev=1.8148805354691233
2023-09-22 21:25:00: Sum=3127, StdDev=1.8440330866585224
2023-09-22 21:40:00: Sum=3201, StdDev=1.921258268253733
2023-09-22 21:55:00: Sum=3115, StdDev=1.8611940280036747
2023-09-22 22:10:00: Sum=3087, StdDev=1.806343759581154
2023-09-22 22:25:00: Sum=3092, StdDev=1.8694212479987316
2023-09-22 22:40:00: Sum=3220, StdDev=1.8365292010128342
2023-09-22 22:55:00: Sum=3132, StdDev=1.8846278736722066
2023-09-22 23:10:00: Sum=3154, StdDev=1.7785706565236348
2023-09-22 23:25:00: Sum=3188, StdDev=1.9320097640527238
2023-09-22 23:40:00: Sum=3182, StdDev=1.8779013766028592
2023-09-22 23:55:00: Sum=3092, StdDev=1.8723906946949522
2023-09-23 00:10:00: Sum=3136, StdDev=1.8811291591967434
2023-09-23 00:25:00: Sum=3107, StdDev=1.92265602041538
2023-09-23 00:40:00: Sum=3163, StdDev=1.8958469881478135
2023-09-23 00:55:00: Sum=3060, StdDev=1.776388345929897
2023-09-23 01:10:00: Sum=3138, StdDev=1.819902317280915
2023-09-23 01:25:00: Sum=3156, StdDev=1.8363490348454397
2023-09-23 01:40:00: Sum=3055, StdDev=1.8520175851763583
2023-09-23 01:55:00: Sum=3098, StdDev=1.8190337958975045
2023-09-23 02:10:00: Sum=3150, StdDev=1.9017535767461216
2023-09-23 02:25:00: Sum=3218, StdDev=1.9240761772347967
2023-09-23 02:40:00: Sum=3160, StdDev=1.8899996733947069
2023-09-23 02:55:00: Sum=3178, StdDev=1.9096622414823021
2023-09-23 03:10:00: Sum=3111, StdDev=1.8230956578791409
