2023-02-06 13:10:00: Sum=3655, StdDev=1.9112645287257943
2023-02-06 13:25:00: Sum=3751, StdDev=2.160675191682132
2023-02-06 13:40:00: Sum=3761, StdDev=1.935687902096045
2023-02-06 13:55:00: Sum=3789, StdDev=2.0841491735904554
2023-02-06 14:10:00: Sum=3707, StdDev=1.9625037548127955
2023-02-06 14:25:00: Sum=3765, StdDev=2.0668682697367156
2023-02-06 14:40:00: Sum=3734, StdDev=2.1145130484579107
2023-02-06 14:55:00: Sum=3715, StdDev=2.0034152938185765
2023-02-06 15:10:00: Sum=3655, StdDev=1.9904323619893043
2023-02-06 15:25:00: Sum=3684, StdDev=2.0597087172704787
2023-02-06 15:40:00: Sum=3727, StdDev=2.103193045741242
2023-02-06 15:55:00: Sum=3735, StdDev=2.0463381929681126
2023-02-06 16:10:00: Sum=3718, StdDev=2.033751019637493
2023-02-06 16:25:00: Sum=3751, StdDev=2.0015731467344366
2023-02-06 16:40:00: Sum=3648, StdDev=1.9337470821639984
2023-02-06 16:55:00: Sum=3662, StdDev=1.9865461062101644
2023-02-06 17:10:00: Sum=3624, StdDev=2.0219242759751856
2023-02-06 17:25:00: Sum=3619, StdDev=2.0392261301475476
2023-02-06 17:40:00: Sum=3700, StdDev=2.0749535172541655
2023-02-06 17:55:00: Sum=3687, StdDev=2.102006977470183
2023-02-06 18:10:00: Sum=3648, StdDev=2.0847168739290343
2023-02-06 18:25:00: Sum=3707, StdDev=2.025470833847141
2023-02-06 18:40:00: Sum=3776, StdDev=1.9617402201509824
2023-02-06 18:55:00: Sum=3730, StdDev=1.9706801483025043
2023-02-06 19:10:00: Sum=3739, StdDev=1.9831322649402165
2023-02-06 19:25:00: Sum=3727, StdDev=2.028978639854953
2023-02-06 19:40:00: Sum=3762, StdDev=2.0217813927326564
2023-02-06 19:55:00: Sum=3631, StdDev=2.0324949698508816
2023-02-06 20:10:00: Sum=3789, StdDev=2.0377847449293234
2023-02-06 20:25:00: Sum=3608, StdDev=1.964102534347965
2023-02-06 20:40:00: Sum=3781, StdDev=1.9529461757642217
2023-02-06 20:55:00: Sum=3741, StdDev=2.0561317510747648
2023-02-06 21:10:00: Sum=3734, StdDev=1.9888715083039452
2023-02-06 21:25:00: Sum=3716, StdDev=2.0388038129389305
2023-02-06 21:40:00: Sum=3751, StdDev=1.984289840935418
2023-02-06 21:55:00: Sum=3770, StdDev=1.9871500779001985
2023-02-06 22:10:00: Sum=3788, StdDev=2.088787231568939
2023-02-06 22:25:00: Sum=3720, StdDev=2.042329824272052
2023-02-06 22:40:00: Sum=3611, StdDev=1.994677795076899
2023-02-06 22:55:00: Sum=3706, StdDev=1.9859270310964365
2023-02-06 23:10:00: Sum=3697, StdDev=2.0161970680674917
2023-02-06 23:25:00: Sum=3830, StdDev=2.027922369274147
2023-02-06 23:40:00: Sum=3746, StdDev=2.0624461085364834
2023-02-06 23:55:00: Sum=3776, StdDev=2.064402582998616
2023-02-07 00:10:00: Sum=3786, StdDev=2.0481861894531628
2023-02-07 00:25:00: Sum=3675, StdDev=2.0277929984208063
2023-02-07 00:40:00: Sum=3739, StdDev=2.085807123879073
2023-02-07 00:55:00: Sum=3684, StdDev=2.0843757392135953
2023-02-07 01:10:00: Sum=3679, StdDev=1.9961255681821766
2023-02-07 01:25:00: Sum=3631, StdDev=2.0275689390176446
2023-02-07 01:40:00: Sum=3738, StdDev=2.0539501238129203
2023-02-07 01:55:00: Sum=3762, StdDev=1.992998857110672
2023-02-07 02:10:00: Sum=3682, StdDev=2.1329501970767804
2023-02-07 02:25:00: Sum=3704, StdDev=2.002770920006752
2023-02-07 02:40:00: Sum=3752, StdDev=1.9766213847789444
2023-02-07 02:55:00: Sum=3670, StdDev=2.0173017059526583
2023-02-07 03:10:00: Sum=3743, StdDev=2.095041471053043
2023-02-07 03:25:00: Sum=3722, StdDev=1.985912111242652
2023-02-07 03:40:00: Sum=3693, StdDev=1.9998305483770926
2023-02-07 03:55:00: Sum=3720, StdDev=2.04939015319192
2023-02-07 04:10:00: Sum=3704, StdDev=2.069885187965271
2023-02-07 04:25:00: Sum=3729, StdDev=2.083935912855501
2023-02-07 04:40:00: Sum=3715, StdDev=2.005632500832359
2023-02-07 04:55:00: Sum=3776, StdDev=2.0247310444770523
2023-02-07 05:10:00: Sum=3748, StdDev=2.0416938017849087
2023-02-07 05:25:00: Sum=3688, StdDev=2.0686537639396616
2023-02-07 05:40:00: Sum=3706, StdDev=2.08633531862172
2023-02-07 05:55:00: Sum=3760, StdDev=2.078876714733639
2023-02-07 06:10:00: Sum=3627, StdDev=2.0790462556983513
2023-02-07 06:25:00: Sum=3710, StdDev=2.044655786177864
2023-02-07 06:40:00: Sum=3732, StdDev=2.076492769605091
2023-02-07 06:55:00: Sum=3748, StdDev=2.026946861722555
2023-02-07 07:10:00: Sum=3715, StdDev=1.9311210203044573
2023-02-07 07:25:00: Sum=3713, StdDev=2.018473631848862
2023-02-07 07:40:00: Sum=3795, StdDev=2.1004629119421376
2023-02-07 07:55:00: Sum=3645, StdDev=2.0277929984208063
2023-02-07 08:10:00: Sum=3703, StdDev=2.066992507168654
2023-02-07 08:25:00: Sum=3724, StdDev=2.086175542724468
2023-02-07 08:40:00: Sum=3654, StdDev=2.040359445457262
2023-02-07 08:55:00: Sum=3689, StdDev=1.99783184947218
2023-02-07 09:10:00: Sum=3749, StdDev=2.10141016733003
2023-02-07 09:25:00: Sum=3579, StdDev=2.041924473518929
2023-02-07 09:40:00: Sum=3676, StdDev=2.108602017720699
2023-02-07 09:55:00: Sum=3614, StdDev=2.064994544577734
2023-02-07 10:10:00: Sum=3730, StdDev=2.02298520404932
2023-02-07 10:25:00: Sum=3770, StdDev=2.04719018518578
2023-02-07 10:40:00: Sum=3818, StdDev=2.0404780364620323
2023-02-07 10:55:00: Sum=3690, StdDev=2.015771151032114
2023-02-07 11:10:00: Sum=3640, StdDev=2.0380334263484445
2023-02-07 11:25:00: Sum=3716, StdDev=2.1247349871059447
2023-02-07 11:40:00: Sum=3862, StdDev=2.0115579614067216
2023-02-07 11:55:00: Sum=3629, StdDev=1.9927829662603211
2023-02-07 12:10:00: Sum=3723, StdDev=1.9698251473445836
2023-02-07 12:25:00: Sum=3824, StdDev=2.0929110213312643
2023-02-07 12:40:00: Sum=3648, StdDev=2.0109257127557503
2023-02-07 12:55:00: Sum=3724, StdDev=1.9750993098957372
2023-02-07 13:10:00: Sum=3767, StdDev=2.0688193686851717
2023-02-07 13:25:00: Sum=3677, StdDev=1.987855411191284
2023-02-07 13:40:00: Sum=3701, StdDev=1.9685486914519752
2023-02-07 13:55:00: Sum=3663, StdDev=2.045751695587712
2023-02-07 14:10:00: Sum=3718, StdDev=2.0435614035004046
2023-02-07 14:25:00: Sum=3708, StdDev=2.0534631993564214
2023-02-07 14:40:00: Sum=3783, StdDev=2.113919477074649
2023-02-07 14:55:00: Sum=3739, StdDev=2.0443777163023427
2023-02-07 15:10:00: Sum=3675, StdDev=2.0463381929681126
2023-02-07 15:25:00: Sum=3656, StdDev=2.0040280424838692
2023-02-07 15:40:00: Sum=3718, StdDev=1.982290731252577
2023-02-07 15:55:00: Sum=3611, StdDev=1.930131128405401
2023-02-07 16:10:00: Sum=3670, StdDev=2.0554954946180404
2023-02-07 16:25:00: Sum=3678, StdDev=1.972939149819094
2023-02-07 16:40:00: Sum=3743, StdDev=2.0287595796690066
2023-02-07 16:55:00: Sum=3756, StdDev=2.0496503766902947
2023-02-07 17:10:00: Sum=3630, StdDev=2.0251200238778715
2023-02-07 17:25:00: Sum=3724, StdDev=2.0577537795576877
2023-02-07 17:40:00: Sum=3605, StdDev=1.9655285470162476
2023-02-07 17:55:00: Sum=3599, StdDev=1.980740290589716
2023-02-07 18:10:00: Sum=3692, StdDev=2.029941311564219
2023-02-07 18:25:00: Sum=3744, StdDev=1.9762366030187557
2023-02-07 18:40:00: Sum=3706, StdDev=1.9859270310964363
2023-02-07 18:55:00: Sum=3723, StdDev=1.993375138915012
2023-02-07 19:10:00: Sum=3696, StdDev=2.0384525721460602
2023-02-07 19:25:00: Sum=3712, StdDev=1.99834993660665
2023-02-07 19:40:00: Sum=3672, StdDev=2.026557014577516
2023-02-07 19:55:00: Sum=3706, StdDev=2.005413660723713
2023-02-07 20:10:00: Sum=3759, StdDev=2.1057883190018045
2023-02-07 20:25:00: Sum=3814, StdDev=2.0458944133599086
2023-02-07 20:40:00: Sum=3709, StdDev=2.0038293586943556
2023-02-07 20:55:00: Sum=3686, StdDev=2.082675155291659
2023-02-07 21:10:00: Sum=3695, StdDev=1.9553266911531186
2023-02-07 21:25:00: Sum=3673, StdDev=1.984125580951885
2023-02-07 21:40:00: Sum=3784, StdDev=2.031524392672825
2023-02-07 21:55:00: Sum=3751, StdDev=2.0703369440089685
2023-02-07 22:10:00: Sum=3790, StdDev=2.0789657922707865
2023-02-07 22:25:00: Sum=3775, StdDev=1.9341872316075246
2023-02-07 22:40:00: Sum=3771, StdDev=2.0397467163024596
2023-02-07 22:55:00: Sum=3782, StdDev=2.0599880138690008
2023-02-07 23:10:00: Sum=3732, StdDev=1.9817612817334427
2023-02-07 23:25:00: Sum=3715, StdDev=2.0489307660217846
2023-02-07 23:40:00: Sum=3675, StdDev=2.0485089428383976
2023-02-07 23:55:00: Sum=3750, StdDev=2.1476084890459486
2023-02-08 00:10:00: Sum=3742, StdDev=1.9831500070890462
2023-02-08 00:25:00: Sum=3722, StdDev=1.9239606782255259
2023-02-08 00:40:00: Sum=3735, StdDev=2.1146972465212235
2023-02-08 00:55:00: Sum=3780, StdDev=2.1081851067789197
2023-02-08 01:10:00: Sum=3757, StdDev=2.006548230785678
2023-02-08 01:25:00: Sum=3793, StdDev=2.0611787949354023
2023-02-08 01:40:00: Sum=3819, StdDev=2.0198212242121274
2023-02-08 01:55:00: Sum=3697, StdDev=2.008466954214791
2023-02-08 02:10:00: Sum=3743, StdDev=2.038593984122087
2023-02-08 02:25:00: Sum=3683, StdDev=2.075075783236082
2023-02-08 02:40:00: Sum=3706, StdDev=2.065460819057512
2023-02-08 02:55:00: Sum=3634, StdDev=2.0145899929033138
2023-02-08 03:10:00: Sum=3742, StdDev=2.0735357767070117
2023-02-08 03:25:00: Sum=3763, StdDev=1.9819964370662249
2023-02-08 03:40:00: Sum=3653, StdDev=1.9464722759360467
2023-02-08 03:55:00: Sum=3807, StdDev=2.0761583112405795
2023-02-08 04:10:00: Sum=3816, StdDev=2.0237918206508625
2023-02-08 04:25:00: Sum=3749, StdDev=1.9766223216560963
2023-02-08 04:40:00: Sum=3795, StdDev=2.113646138784825
2023-02-08 04:55:00: Sum=3709, StdDev=2.039008170897717
2023-02-08 05:10:00: Sum=3735, StdDev=2.0951663948770802
2023-02-08 05:25:00: Sum=3772, StdDev=2.0957970875298892
2023-02-08 05:40:00: Sum=3782, StdDev=2.054587159275977
2023-02-08 05:55:00: Sum=3724, StdDev=2.064223167186779
2023-02-08 06:10:00: Sum=3742, StdDev=2.0015537174781537
2023-02-08 06:25:00: Sum=3824, StdDev=2.1354804010362347
2023-02-08 06:40:00: Sum=3820, StdDev=2.128176637985939
2023-02-08 06:55:00: Sum=3902, StdDev=2.0495696627509727
2023-02-08 07:10:00: Sum=3769, StdDev=2.094772741732662
2023-02-08 07:25:00: Sum=3707, StdDev=2.061897424134945
2023-02-08 07:40:00: Sum=3740, StdDev=2.116134374598651
2023-02-08 07:55:00: Sum=3688, StdDev=1.994268330200203
2023-02-08 08:10:00: Sum=3676, StdDev=2.1138648706476073
2023-02-08 08:25:00: Sum=3671, StdDev=2.0114668193714005
2023-02-08 08:40:00: Sum=3723, StdDev=2.027639569110403
2023-02-08 08:55:00: Sum=3830, StdDev=2.1195445585791464
2023-02-08 09:10:00: Sum=3871, StdDev=2.0697286158358725
2023-02-08 09:25:00: Sum=3784, StdDev=2.0326179676636573
2023-02-08 09:40:00: Sum=3751, StdDev=2.0805089002334545
2023-02-08 09:55:00: Sum=3796, StdDev=2.085749413828025
2023-02-08 10:10:00: Sum=3810, StdDev=2.079262689833426
2023-02-08 10:25:00: Sum=3614, StdDev=1.943016618623452
2023-02-08 10:40:00: Sum=3674, StdDev=2.022076917856587
2023-02-08 10:55:00: Sum=3831, StdDev=2.0329808437639327
2023-02-08 11:10:00: Sum=3717, StdDev=1.980962168016116
2023-02-08 11:25:00: Sum=3733, StdDev=2.0377944383179343
2023-02-08 11:40:00: Sum=3824, StdDev=2.0418534306112095
2023-02-08 11:55:00: Sum=3615, StdDev=2.0571690364295407
2023-02-08 12:10:00: Sum=3710, StdDev=2.0945844338716175
2023-02-08 12:25:00: Sum=3762, StdDev=1.9874159660781188
2023-02-08 12:40:00: Sum=3755, StdDev=2.072654110489349
2023-02-08 12:55:00: Sum=3815, StdDev=2.053625219754051
2023-02-08 13:10:00: Sum=3788, StdDev=2.088255223037455
2023-02-08 13:25:00: Sum=3764, StdDev=2.0127691139752812
2023-02-08 13:40:00: Sum=3803, StdDev=2.018033207033858
2023-02-08 13:55:00: Sum=3739, StdDev=2.106480008139493
