2023-08-28 12:25:00: Sum=2833, StdDev=1.765517096287643
2023-08-28 12:40:00: Sum=2703, StdDev=1.7521383760676235
2023-08-28 12:55:00: Sum=2787, StdDev=1.7690518489983398
2023-08-28 13:10:00: Sum=2834, StdDev=1.6799632565058906
2023-08-28 13:25:00: Sum=2849, StdDev=1.7263745641669044
2023-08-28 13:40:00: Sum=2754, StdDev=1.7766260157951081
2023-08-28 13:55:00: Sum=2761, StdDev=1.7816551466904011
2023-08-28 14:10:00: Sum=2859, StdDev=1.8710989046843864
2023-08-28 14:25:00: Sum=2768, StdDev=1.769137335986171
2023-08-28 14:40:00: Sum=2767, StdDev=1.7410125477313554
2023-08-28 14:55:00: Sum=2741, StdDev=1.8199915208051023
2023-08-28 15:10:00: Sum=2739, StdDev=1.7667641482539642
2023-08-28 15:25:00: Sum=2792, StdDev=1.6222739717773236
2023-08-28 15:40:00: Sum=2852, StdDev=1.7702256255720905
2023-08-28 15:55:00: Sum=2698, StdDev=1.6858876842632835
2023-08-28 16:10:00: Sum=2767, StdDev=1.763838057010344
2023-08-28 16:25:00: Sum=2779, StdDev=1.7632248093748744
2023-08-28 16:40:00: Sum=2750, StdDev=1.764219129190722
2023-08-28 16:55:00: Sum=2848, StdDev=1.7605751024474998
2023-08-28 17:10:00: Sum=2766, StdDev=1.7130739103209245
2023-08-28 17:25:00: Sum=2808, StdDev=1.775462381090252
2023-08-28 17:40:00: Sum=2846, StdDev=1.719921043263826
2023-08-28 17:55:00: Sum=2797, StdDev=1.7545324022705546
2023-08-28 18:10:00: Sum=2765, StdDev=1.7914319398352059
2023-08-28 18:25:00: Sum=2825, StdDev=1.833526925805651
2023-08-28 18:40:00: Sum=2807, StdDev=1.7745981983063375
2023-08-28 18:55:00: Sum=2781, StdDev=1.691715106038839
2023-08-28 19:10:00: Sum=2698, StdDev=1.744195311297051
2023-08-28 19:25:00: Sum=2867, StdDev=1.801854668643834
2023-08-28 19:40:00: Sum=2788, StdDev=1.7465507453758222
2023-08-28 19:55:00: Sum=2738, StdDev=1.7257512230766685
2023-08-28 20:10:00: Sum=2846, StdDev=1.8434013114516674
2023-08-28 20:25:00: Sum=2767, StdDev=1.7530963788623395
2023-08-28 20:40:00: Sum=2871, StdDev=1.8240705395716839
2023-08-28 20:55:00: Sum=2716, StdDev=1.739002126238415
2023-08-28 21:10:00: Sum=2823, StdDev=1.7276155693775033
2023-08-28 21:25:00: Sum=2698, StdDev=1.7126962354900324
2023-08-28 21:40:00: Sum=2782, StdDev=1.7583227136769004
2023-08-28 21:55:00: Sum=2820, StdDev=1.781385228784985
2023-08-28 22:10:00: Sum=2769, StdDev=1.7618519297098216
2023-08-28 22:25:00: Sum=2896, StdDev=1.781171760248341
2023-08-28 22:40:00: Sum=2759, StdDev=1.7458306594163207
2023-08-28 22:55:00: Sum=2737, StdDev=1.73380727138889
2023-08-28 23:10:00: Sum=2794, StdDev=1.740428498394775
2023-08-28 23:25:00: Sum=2787, StdDev=1.7225917166357854
2023-08-28 23:40:00: Sum=2782, StdDev=1.70897268975282
2023-08-28 23:55:00: Sum=2762, StdDev=1.711311676557192
2023-08-29 00:10:00: Sum=2817, StdDev=1.847457712641889
2023-08-29 00:25:00: Sum=2905, StdDev=1.7945304416957768
2023-08-29 00:40:00: Sum=2779, StdDev=1.7016546051010848
2023-08-29 00:55:00: Sum=2752, StdDev=1.804006515002881
2023-08-29 01:10:00: Sum=2775, StdDev=1.7753716355863198
2023-08-29 01:25:00: Sum=2763, StdDev=1.7245256996893055
2023-08-29 01:40:00: Sum=2810, StdDev=1.837436485842755
2023-08-29 01:55:00: Sum=2814, StdDev=1.8237811759577347
2023-08-29 02:10:00: Sum=2886, StdDev=1.7998641924076133
2023-08-29 02:25:00: Sum=2648, StdDev=1.6148600061634362
2023-08-29 02:40:00: Sum=2689, StdDev=1.7348921053725361
2023-08-29 02:55:00: Sum=2768, StdDev=1.7482887576847577
2023-08-29 03:10:00: Sum=2833, StdDev=1.6770826374509713
2023-08-29 03:25:00: Sum=2737, StdDev=1.7755997074193424
2023-08-29 03:40:00: Sum=2787, StdDev=1.775321567115847
2023-08-29 03:55:00: Sum=2698, StdDev=1.6806068862684216
2023-08-29 04:10:00: Sum=2727, StdDev=1.760741636672204
2023-08-29 04:25:00: Sum=2753, StdDev=1.7384152709640432
2023-08-29 04:40:00: Sum=2703, StdDev=1.7394092228237852
2023-08-29 04:55:00: Sum=2838, StdDev=1.7609467150749716
2023-08-29 05:10:00: Sum=2843, StdDev=1.7739719679887491
2023-08-29 05:25:00: Sum=2861, StdDev=1.866725858849865
2023-08-29 05:40:00: Sum=2904, StdDev=1.868974763517867
2023-08-29 05:55:00: Sum=2900, StdDev=1.8425693279752222
2023-08-29 06:10:00: Sum=2785, StdDev=1.7798165393040506
2023-08-29 06:25:00: Sum=2819, StdDev=1.7742809359022524
2023-08-29 06:40:00: Sum=2918, StdDev=1.8169558043776763
2023-08-29 06:55:00: Sum=2787, StdDev=1.741196906345364
2023-08-29 07:10:00: Sum=2817, StdDev=1.830540296682315
2023-08-29 07:25:00: Sum=2867, StdDev=1.7568950585944456
2023-08-29 07:40:00: Sum=2777, StdDev=1.7475100451856325
2023-08-29 07:55:00: Sum=2792, StdDev=1.826531489996988
2023-08-29 08:10:00: Sum=2771, StdDev=1.8016655531568835
2023-08-29 08:25:00: Sum=2765, StdDev=1.7531893336163589
2023-08-29 08:40:00: Sum=2814, StdDev=1.749145823283785
2023-08-29 08:55:00: Sum=2771, StdDev=1.7241419408212206
2023-08-29 09:10:00: Sum=2779, StdDev=1.8360784162495032
2023-08-29 09:25:00: Sum=2736, StdDev=1.7462849455661902
2023-08-29 09:40:00: Sum=2822, StdDev=1.7799694823295966
2023-08-29 09:55:00: Sum=2918, StdDev=1.8604645643122923
2023-08-29 10:10:00: Sum=2782, StdDev=1.7379837900052428
